Date, Open , High , Low , Close , Adj Close , Volume 
1/2/14, 19.845714569091797 , 19.89392852783203 , 19.71500015258789 , 19.754642486572266 , 17.318729400634766 ," 234,684,800.00 "
1/3/14, 19.75 , 19.774999618530273 , 19.301071166992188 , 19.320714950561523 , 16.938304901123047 ," 392,467,600.00 "
1/6/14, 19.194643020629883 , 19.53 , 19.05714225769043 , 19.426071166992188 , 17.030675888061523 ," 412,610,800.00 "
1/7/14, 19.440000534057617 , 19.498571395874023 , 19.211429595947266 , 19.28714370727539 , 16.90888023376465 ," 317,209,200.00 "
1/8/14, 19.243213653564453 , 19.484285354614258 , 19.238929748535156 , 19.409286499023438 , 17.015958786010742 ," 258,529,600.00 "
1/9/14, 19.53 , 19.53071403503418 , 19.11964225769043 , 19.161428451538086 , 16.798664093017578 ," 279,148,800.00 "
1/10/14, 19.27964210510254 , 19.314285278320312 , 18.96821403503418 , 19.033571243286133 , 16.686569213867188 ," 304,976,000.00 "
1/13/14, 18.925357818603516 , 19.38 , 18.924285888671875 , 19.133214950561523 , 16.77 ," 378,492,800.00 "
1/14/14, 19.222143173217773 , 19.526071548461914 , 19.20 , 19.51392936706543 , 17.107696533203125 ," 332,561,600.00 "
1/15/14, 19.768571853637695 , 20.007143020629883 , 19.70 , 19.90571403503418 , 17.451173782348633 ," 391,638,800.00 "
1/16/14, 19.81785774230957 , 19.887500762939453 , 19.702856063842773 , 19.79464340209961 , 17.35379409790039 ," 229,278,000.00 "
1/17/14, 19.695714950561523 , 19.716785430908203 , 19.282142639160156 , 19.309642791748047 , 16.928598403930664 ," 426,739,600.00 "
1/21/14, 19.32107162475586 , 19.645357131958008 , 19.30071449279785 , 19.609643936157227 , 17.191606521606445 ," 328,526,800.00 "
1/22/14, 19.675357818603516 , 19.903213500976562 , 19.56464385986328 , 19.696786880493164 , 17.26801109313965 ," 379,985,200.00 "
1/23/14, 19.640714645385742 , 19.88 , 19.457500457763672 , 19.863571166992188 , 17.41422462463379 ," 403,239,200.00 "
1/24/14, 19.78571319580078 , 19.843570709228516 , 19.45535659790039 , 19.502500534057617 , 17.097681045532227 ," 429,354,800.00 "
1/27/14, 19.645357131958008 , 19.814285278320312 , 19.491071701049805 , 19.66071319580078 , 17.236377716064453 ," 554,878,800.00 "
1/28/14, 18.170000076293945 , 18.39285659790039 , 17.93107032775879 , 18.08928680419922 , 15.85872745513916 ," 1,065,523,200.00 "
1/29/14, 17.998214721679688 , 18.120357513427734 , 17.807857513427734 , 17.883928298950195 , 15.67868423461914 ," 502,810,000.00 "
1/30/14, 17.947856903076172 , 18.08928680419922 , 17.739286422729492 , 17.849285125732422 , 15.65 ," 678,501,600.00 "
1/31/14, 17.684999465942383 , 17.911785125732422 , 17.626785278320312 , 17.878570556640625 , 15.673992156982422 ," 464,797,200.00 "
